plate,latin_name,order,german_name
001,Circogonia,Phaeodaria,Röhrstrahlinge
002,Globigerina,Thalamophora,Kammerlinge
003,Stentor,Ciliata,Wimperlinge
004,Triceratium,Diatomea,Schachtellinge
005,Ascandra,Calcispongiae,Kalkschwämme
006,Tubuletta,Tubulariae,Röhrenpolypen
007,Epibulia,Siphonophorae,Staatsquallen
008,Desmonema,Discomedusae,Scheibenquallen
009,Maeandrina,Hexacoralla,Sechsstrahlige Sternkorallen
010,Ophiothrix,Ophiodea,Schlangensterne
011,Heliodiscus,Discoidea,Scheiben-Strahlinge
012,Miliola,Talamophora,Kammerlinge
013,Dinobryon,Flagellata,Geißlinge
014,Peridinium,Peridinea,Geißelhütchen
015,Zonaria,Fucoideae,Brauntange
016,Pegantha,Narcomedusae,Spangenquallen
017,Porpema,Siphonophorae,Staatsquallen
018,Linantha,Discomedusae,Scheibenquallen
019,Pennatula,Pennatulida,Federkorallen
020,Pentacrinus,Crinoidea,Palmensterne
021,Xiphacantha,Acanthometra,Stachelstrahlinge
022,Elaphospyris,Spyroidea,Büschenstrahlinge
023,Cristatella,Bryozoa,Moostiere
024,Staurastrum,Desmidiea,Zierdinge
025,Diphasia,Sertulariae,Reihenpolypen
026,Carmaris,Trachomedusae,Kolbenquallen
027,Hormiphora,Ctenophorae,Kammquallen
028,Toreuma,Discomedusae,Scheibenquallen
029,Cyathophyllum,Tetracoralla,Vierstrahlige Sternkorallen
030,Clypeaster,Echinidea,Igelsterne
031,Calocyclas,Cyrtoidea,Flaschenstrahlinge
032,Pedalion,Rotatoria,Rädertiere
033,Flustra,Bryozoa,Moostiere
034,Pediastrum,Melethallia,Gesellige Algetten
035,Farrea,Hexactinellae,Glasschwämme
036,Aequorea,Leptomedusae,Faltenquallen
037,Discolabe,Siphonophorae,Staatsquallen
038,Periphylla,Peromedusae,Taschenquallen
039,Gorgonia,Gorgonida,Rindenkorallen
040,Asterias,Asteridea,Seesterne
041,Doraspis,Acanthophracta,Wunderstrahlinge
042,Ostracion,Ostraciontes,Kofferfische
043,Aeolis,Nudibranchia,Nacktkiemen-Schnecken
044,Ammonites,Ammonitida,Ammonshörner
045,Campanulina,Campanariae,Glockenpolypen
046,Gemmaria,Anthomedusae,Blumenquallen
047,Limulus,Aspidonia,Schildtiere
048,Lucernaria,Stauromedusae,Becherquallen
049,Heliactis,Actiniae,Seeanemonen
050,Sporadipus,Thuroidea,Gurkensterne
051,Collosphaera,Polycyttaria,Vereins-Strahlinge
052,Platycerium,Filicinae,Laubfarne
053,Murex,Prosobranchia,Vorderkiemen-Schnecken
054,Octopus,Gamochonia,Trichterkraken
055,Cytherea,Acephala,Muscheln
056,Calanus,Copepoda,Ruderkrebse
057,Lepas,Cirripedia,Rankenkrebse
058,Alucita,Tineida,Motten
059,Strobalia,Siphonophorae,Staatsquallen
060,Cidaris,Echinidea,Igelsterne
061,Aulographis,Phaeodaria,Rohrstrahlinge
062,Nepenthes,Nepenthaceae,Kannenpflanzen
063,Dictyophora,Basimycetes,Schwammpilze
064,Caulerpa,Siphoneae,Riesen-Algetten
065,Delesseria,Florideae,Rotalgen
066,Epeira,Arachnida,Spinnentiere
067,Vampyrus,Chiroptera,Fledertiere
068,Hyla,Batrachia,Frösche
069,Turbinaria,Hexacoralla,Sechsstrahlige Sternkorallen
070,Astrophyton,Ophiodea,Schlangensterne
071,Tympanidium,Stephoidea,Ringelstrahlinge
072,Polytrichum,Muscinae,Laubmoose
073,Erysiphe,Ascomycetes,Schlauchpilze
074,Cypripedium,Orchideae,Venusblumen
075,Diplozoon,Platodes,Plattentiere
076,Alima,Thoracostraca,Panzerkrebse
077,Bassia,Siphonophorae,Staatsquallen
078,Charybdea,Cubomedusae,Würfelquallen
079,Basiliscus,Lacertilia,Eidechsen
080,Pentremites,Blastoidea,Knospensterne
081,Lagena,Thalamophora,Kammerlinge
082,Marchantia,Hepaticae,Lebermoose
083,Cladonia,Lichenes,Flechten
084,Navicula,Diatomea,Schachtellinge
085,Cynthia,Ascidiae,Seescheiden
086,Parthenope,Decapoda,Zehnfußkrebse
087,Pegasus,Teleostei,Knochenfische
088,Pilema,Discomedusae,Scheibenquallen
089,Testudo,Chelonia,Schildkröten
090,Callocystis,Cystoidea,Beutelsterne
091,Astrosphaera,Spumellaria,Schaumstrahlinge
092,Alsophila,Filicinae,Laubfarne
093,Arcyria,Mycetozoa,Pilztiere
094,Araucaria,Coniferae,Zapfenbäume
095,Placocystis,Amphoridea,Urnensterne
096,Sabella,Chaetopoda,Borstenwürmer
097,Terebratula,Spirobranchia,Spiralkiemer
098,Aurelia,Discomedusae,Scheibenquallen
099,Trochilus,Trochilidae,Kolibris
100,Antilope,Antilopina,Antilopen
